[ 0.  0.],[ 0.  0.],[ 0.  0.],[ 0.  0.],[ 0.  0.],[ 0.  0.],[ 0.  0.],[ 0.  0.],[ 0.  0.],[ 0.  0.],[ 0.  0.]
[ 0.  0.],[ 0.31401945 -0.15625   ],[ 0.25541126 -0.10891089],[ 0.20796829 -0.20093458],[ 0.15168309 -0.28244275],[ 0.10192837 -0.3047619 ],[ 0.08197056 -0.2767624 ],[-0.02565163 -0.375     ],[-0.11173408 -0.38875306],[-0.22532253 -0.51980198],[-0.29004994 -0.53989362]
[ 0.  0.],[ 0.30955572 -0.10512129],[ 0.25191463 -0.18579235],[ 0.19590139 -0.17902813],[ 0.14192296 -0.26341463],[ 0.09549922 -0.21907216],[ 0.07080093 -0.34508816],[-0.02121524 -0.31331593],[-0.09662122 -0.40533333],[-0.20735952 -0.46958637],[-0.29573377 -0.51813472]
[ 0.  0.],[ 0.31676122 -0.08184143],[ 0.26699767 -0.095     ],[ 0.18510158 -0.1160221 ],[ 0.15570289 -0.1443038 ],[ 0.10858197 -0.1369509 ],[ 0.06639428 -0.24197531],[-0.02224919 -0.21287129],[-0.13583441 -0.30601093],[-0.21401085 -0.40419948],[-0.29618599 -0.47894737]
[ 0.  0.],[ 0.31059833  0.06476684],[ 0.2595381  -0.06235566],[ 0.18728061 -0.15      ],[ 0.1502768  -0.16153846],[ 0.10948151 -0.09722222],[ 0.07302844 -0.17990654],[-0.03315088 -0.20328542],[-0.12369057 -0.29156627],[-0.21096921 -0.41147132],[-0.29489767 -0.48104265]
[ 0.  0.],[ 0.32455872  0.05896806],[ 0.26512563 -0.05012531],[ 0.20290448 -0.12531328],[ 0.15093564 -0.09725686],[ 0.12197109 -0.1744186 ],[ 0.07630189 -0.21153846],[-0.02479008 -0.21760391],[-0.1201823  -0.30266344],[-0.2142928  -0.34515366],[-0.28284448 -0.46551724]
[ 0.  0.],[ 0.31856011  0.17505995],[ 0.27898295 -0.03      ],[ 0.2078842  -0.11586902],[ 0.15711231 -0.08037825],[ 0.11200807 -0.11662531],[ 0.08843954 -0.16623377],[-0.01768652 -0.19280206],[-0.11424404 -0.29906542],[-0.18604195 -0.33787466],[-0.2963343  -0.38151659]
[ 0.  0.],[ 0.30615906  0.04134367],[ 0.2636531   0.09068627],[ 0.20504926  0.04594595],[ 0.15270936 -0.11351351],[ 0.118767    0.03350515],[ 0.05190383 -0.2475    ],[-0.05101626 -0.11904762],[-0.12207425 -0.29854369],[-0.20388153 -0.3174946 ],[-0.31441718 -0.37621359]
[ 0.  0.],[ 0.3102024  0.0097561],[ 0.24477072  0.10290237],[ 0.20370924  0.05497382],[ 0.15045669 -0.02102804],[ 0.09563452 -0.16713881],[ 0.08128232 -0.06666667],[-0.02373977 -0.19070905],[-0.10936425 -0.26327434],[-0.2129749  -0.30244755],[-0.28651468 -0.33578431]
[ 0.  0.],[ 0.302391    0.16332378],[ 0.23798698  0.08037825],[ 0.19154079  0.01007557],[ 0.14414138  0.02139037],[ 0.08848582 -0.01113586],[ 0.06235472 -0.08055556],[-0.00721732 -0.11244019],[-0.12863959 -0.19548872],[-0.21097129 -0.25342466],[-0.32217573 -0.23510047]
[ 0.  0.],[ 0.31318626  0.13834951],[ 0.2474092   0.10427807],[ 0.20158023  0.07008086],[ 0.16948981  0.06796117],[ 0.12955021  0.03835616],[ 0.05188241 -0.01348315],[-0.03515586 -0.0375    ],[-0.13597514 -0.01464551],[-0.26213592 -0.12268958],[-0.33182844 -0.16517298]
[ 0.  0.],[ 0.41052632  0.13333333],[ 0.32240437  0.16842105],[ 0.09756098 -0.08256881],[ 0.07526882  0.1719457 ],[ 0.13294798  0.14503817],[-0.175      -0.02094241],[-0.06849315  0.03791469],[-0.1875      0.06812339],[-0.23178808 -0.02863688],[-0.26315789 -0.09622502]
[ 0.  0.],[ 0.4491018   0.03658537],[ 0.05154639  0.27108434],[ 0.23076923  0.10344828],[ 0.15328467  0.13709677],[ 0.11578947 -0.25925926],[ 0.0952381   0.13227513],[-0.2        -0.13414634],[-0.19008264  0.03025937],[-0.31944444 -0.15045593],[-0.30023641 -0.17102138]
[ 0.  0.],[ 0.35     0.15625],[ 0.27272727 -0.02631579],[ 0.13286713 -0.04761905],[ 0.04545455 -0.20512821],[ 0.15231788 -0.25675676],[  5.41871921e-02   5.20417043e-18],[ 0.00534759 -0.15306122],[-0.16751269 -0.08104396],[-0.19899875 -0.215     ],[-0.30081301 -0.1822695 ]
[ 0.  0.],[  3.28244275e-01   6.93889390e-18],[ 0.296875    0.15555556],[ 0.2238806  -0.07936508],[ 0.11888112 -0.05194805],[ 0.1257485  -0.16923077],[ 0.01428571 -0.12941176],[-0.01162791 -0.22352941],[-0.15601023 -0.16111111],[-0.20863309 -0.29213483],[-0.27759197 -0.41630901]
[ 0.  0.],[ 0.36842105 -0.16666667],[ 0.24561404 -0.31578947],[ 0.18181818 -0.078125  ],[ 0.13924051 -0.375     ],[ 0.02325581 -0.1       ],[ 0.1969697  -0.20895522],[ 0.125      -0.24324324],[-0.10906702 -0.28961749],[-0.19904648 -0.28813559],[-0.31723675 -0.38735178]
[ 0.  0.],[ 0.26530612  0.05      ],[ 0.25    -0.21875],[ 0.05882353 -0.31147541],[ 0.17391304 -0.39344262],[  1.04166667e-01   2.08166817e-17],[-0.024      -0.24657534],[ 0.07246377 -0.1641791 ],[-0.03429355 -0.39884393],[-0.19226119 -0.40606061],[-0.27428949 -0.39449541]
[ 0.  0.],[ 0.15384615 -0.33333333],[ 0.17910448 -0.20689655],[ 0.34951456 -0.28846154],[ 0.19148936 -0.23611111],[ 0.19101124 -0.54385965],[ 0.14285714 -0.25423729],[ 0.12359551 -0.14285714],[ 0.0613079  -0.36627907],[-0.05194805 -0.30864198],[-0.12063953 -0.42424242]
[ 0.  0.],[ 0.60655738 -0.55      ],[ 0.47761194 -0.19607843],[ 0.5862069  -0.36538462],[ 0.31081081 -0.44      ],[ 0.44615385 -0.5       ],[ 0.45454545 -0.5106383 ],[ 0.38834951 -0.57692308],[ 0.3689759  -0.39310345],[ 0.27573062 -0.39520958],[ 0.13347023 -0.4744186 ]
[ 0.  0.],[ 0.90740741 -0.51351351],[ 0.76      -0.6097561],[ 0.5        -0.46808511],[ 0.60714286 -0.35135135],[ 0.86363636 -0.47368421],[ 0.5        -0.52941176],[ 0.61842105 -0.40816327],[ 0.60986547 -0.48333333],[ 0.62876712 -0.63157895],[ 0.46560111 -0.59545455]
[ 0.  0.],[ 1.         -0.34883721],[ 0.95652174 -0.5       ],[ 0.925 -0.6  ],[ 0.75925926 -0.34482759],[ 0.73684211 -0.5       ],[ 0.90196078 -0.41176471],[ 0.76595745 -0.61111111],[ 0.7818448  -0.55828221],[ 0.77936508 -0.64596273],[ 0.73426573 -0.63874346]
[ 0.  0.],[ 0.9    -0.4375],[ 0.92857143 -0.7       ],[ 0.88888889 -0.6       ],[ 0.96296296 -0.96      ],[ 0.89473684 -0.54545455],[ 0.87878788 -0.62962963],[ 1.         -0.62962963],[ 0.93877551 -0.62337662],[ 0.94285714 -0.640625  ],[ 0.94833948 -0.79807692]
